pl_name,sy_snum,sy_pnum,sy_mnum,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_met,st_lum,st_age,sy_dist,discoverymethod,disc_year_y,disc_facility,habitability_percent,cluster,cluster_label
Kepler-141 c,1,2,0,7.01062745,0.0703,1.63,,,,0,9887.311,3021,86.52,0.03442,3.1196,4847.2,0.848294,0.859,0.22,-0.44625,4.47,301.183,Transit,2014,Kepler,26.33,,
Kepler-1709 b,1,1,0,65.70460002,0.3251,2.78,,,,0,10.02,454,89.95,0.06567,3.28745,5923,1.043,1.057,0.02,0.11547,2.27,273.946,Transit,2021,Kepler,26.33,,
Kepler-1977 b,1,1,0,4.53700111,0.0488,1.57,,,,0,102.44,811,89.38,0.05182,1.74,4805,0.705982,0.751,-0.05,-0.69414,1.3,592.711,Transit,2023,Kepler,26.33,,
Kepler-1989 b,1,1,0,10.16102667,0.0918,4.42,,,,0,157.97,904,88.81,0.16677,3.0651,6032,1.06,0.999,-0.14,0.27935,,1252.13,Transit,2023,Kepler,26.33,,
Kepler-450 b,1,3,0,28.45490318,0.2004,6.08,40.84895,40.84895,0.75,0,82.7,767,89.95,0.14298,8.13355,6215,1.6,1.305,0.185,0.55403,2.87,455.982,Transit,2015,Kepler,26.33,2,Temperate Small Planets
Kepler-450 c,1,3,0,15.41308581,0.1332,2.551,44.5607,44.5607,8.8,0,186.45,941,88.81,0.02479,6.6095,6215,1.6,1.305,0.185,0.55403,2.87,455.982,Transit,2015,Kepler,26.33,2,Temperate Small Planets
Kepler-58 b,1,4,0,10.21866016,0.0927,2.766,35.5,35.5,10.1,0,169.13,920,81.93,0.05095,4.46535,5843,1.03,1.02,-0.12,-0.00422,2.14,969.252,Transit,2012,Kepler,26.33,2,Temperate Small Planets
Kepler-58 c,1,4,0,15.573637,0.1228,2.895,44.7948,44.7948,10,0,96.38,799,85.37,0.05001,4.824,5843,1.03,1.02,-0.12,-0.00422,2.14,969.252,Transit,2012,Kepler,26.33,2,Temperate Small Planets
Kepler-1405 b,1,1,0,28.2274184,0.1772,3.08,,,,0,23.89,564,89.95,0.129685,5.648,5863,0.9475,0.997,-0.28,0.02238,2.065,1530.3,Transit,2016,Kepler,26.32,,
Kepler-297 b,1,3,0,38.86840425,0.228,3.105,48.5,48.5,,0,21.552,579,89.95,0.10113,6.1918,5783,0.9325,1.04,-0.12,-0.09608,2.57,692.14,Transit,2014,Kepler,26.32,2,Temperate Small Planets
Kepler-297 c,1,3,0,74.92771752,0.3532,7.125,42.1,42.1,,0,8.98,466,89.38,0.42324,4.7917,5783,0.9325,1.04,-0.12,-0.09608,2.57,692.14,Transit,2014,Kepler,26.32,2,Temperate Small Planets
Kepler-731 b,1,1,0,3.855603551,0.0505,13.75,,,,0,507.94,1211,89.95,1.74707,3.20969,5870,1.047,1.03,0.21,0.03524,2.1,1257.16,Transit,2016,Kepler,26.32,,
EPIC 211945201 b,1,1,0,19.492131,0.14865,5.96,27,27,0.65,0,31.9085,817,87.9,0.1639,3.568,6098.5,1.385,1.17,0.1,0.37334,3.99,181.69,Transit,2018,K2,26.31,2,Temperate Small Planets
Kepler-1052 b,1,2,0,34.8538276,0.20455,2.563,,,,0,17.8,524,89.95,0.08418,5.3577,5818,0.927,1.0005,0,-0.04685,1.2,943.444,Transit,2016,Kepler,26.31,,
XO-1 b,1,1,0,3.941509825,0.04928,13.518054,290.17879,290.17879,0.65,0,321.85,1187.5,88.81,1.95,2.9816,5750,0.931,1.0115,0.02,-0.066,1,163.553,Transit,2006,XO,26.31,2,Temperate Small Planets
KOI-351 d,1,8,0,59.7370348,0.309467855,2.853,,,,0,17.2,519,89.95,0.05778,8.05255,6031.13,1.2,1.114,0.083,0.26853,2.04,848.254,Transit,2013,Kepler,26.3,,
KOI-351 e,1,8,0,91.9402928,0.412531915,2.612,,,,0,9.7,450,89.95,0.04785,9.045,6031.13,1.2,1.114,0.083,0.26853,2.04,848.254,Transit,2013,Kepler,26.3,,
KOI-351 f,1,8,0,124.916337,0.4938,2.77,,,,0,6.43,406,89.86,0.05194,10.536,6031.13,1.2,1.108,0.083,0.26853,3.55,848.254,Transit,2013,Kepler,26.3,,
Kepler-1835 b,1,1,0,11.96712,0.0997,2.73,,,,0,100.96,808,89.95,0.08128,4.023,5903,0.961,0.922,-0.26,0.07829,4.8,1404.38,Transit,2021,Kepler,26.3,,
Kepler-221 d,1,4,0,10.04156852,0.085,2.73,3.61,3.61,0.9,0,58.77,706,89.95,0.115215,2.5558,5280,0.767,0.854,-0.02,-0.40429,4.57,385.231,Transit,2014,Kepler,26.3,2,Temperate Small Planets
OGLE-TR-56 b,1,1,0,1.21191096,0.02384,14.5717,413.179,413.179,0.68,0,,2212,77.6,0.9984,2.2032,6084.5,1.32,1.228,0.25,0.35,3,2164.25,Transit,2002,OGLE,26.3,,
HAT-P-8 b,3,1,0,3.076343,0.04496,16.2513,430.34182,430.34182,0.5325,0,1519.9645,1646.25,87.5,0.83,3.8552029,6200,1.58,1.28,0.01,0.519,3.4,211.553,Transit,2008,HATNet,26.29,0,Warm Gas Giants
Kepler-305 e,1,4,0,3.205397275,0.0394,1.83,,,,0,259.22,1023,89.38,0.05428,2.162,5091.5,0.803,0.82,-0.08,-0.42318,3.24,868.477,Transit,2020,Kepler,26.29,,
Kepler-708 b,1,1,0,3.167891938,0.0426,2.87,,,,0,526.23,1221,87.66,0.08918,2.1875,5877,0.95,1,-0.005,0.03695,2.485,1394.22,Transit,2016,Kepler,26.29,,
Kepler-768 b,1,1,0,11.3910025,0.0926,1.74,,,,0,37.65,632,89.95,0.0556,2.297,4999,0.76,0.817,0.06,-0.46575,2.785,784.56,Transit,2016,Kepler,26.29,,
Kepler-1820 b,1,1,0,31.03264905,0.1964,2.7,,,,0,23.41,561,89.95,0.08422,3.403,5841,0.931,1.047,0.07,-0.02202,0.4,1425.39,Transit,2021,Kepler,26.28,,
Kepler-498 b,1,1,0,9.61375356,0.0897,3.46,,,,0,177.26,931,85.94,0.08216,4.7305,5971,1.11,1,0.009,0.17242,5.195,938.844,Transit,2016,Kepler,26.28,,
Kepler-601 b,1,1,0,5.378868441,0.05482,1.838,,,,0,114.58,836,85.94,0.05083,2.7154,5102.59,0.771,0.8075,-0.052,-0.42817,5.4,414.825,Transit,2016,Kepler,26.28,,
TOI-2193 A b,2,1,0,2.122470376,0.03319,16.41066628,298.7587026,298.7587026,0.06,0,1567.453,1679.695,79.96,0.4123667,1.61620825,6022.5,1.222265,1.082,0.027,0.25018,5.5,337.064,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),26.28,0,Warm Gas Giants
Kepler-1057 b,1,1,0,14.08827448,0.1138,2.75,,,,0,64.97,724,89.38,0.09465,4.1615,5853,0.905003,0.99,-0.1,-0.0058,1.745,1201.82,Transit,2016,Kepler,26.27,,
Kepler-1733 b,1,1,0,9.22958009,0.0886,2.335,,,,0,200.2,959,89.95,0.04917,2.293,6363,1.1,1.17,-0.06,0.42985,0.2,2080.51,Transit,2021,Kepler,26.27,,
Kepler-1768 b,1,1,0,15.13590688,0.1274,2.54,,,,0,179.19,933,89.95,0.02655,2.2103,6048.5,1.559,1.211,0.14,0.28665,,632.766,Transit,2021,Kepler,26.27,,
Kepler-361 c,1,2,0,55.1866695,0.2919,2.47,,,,0,24.03,561,89.95,0.03594,9.0775,6203.43,1.27,1.14,-0.02,0.45876,3.16,930.32,Transit,2014,Kepler,26.27,,
Kepler-65 c,1,4,0,5.859938722,0.068517535,2.5755,16,5.4,1.614779,0,569.5,1236,89.95,0.03204,4.0004,6169,1.4305,1.248,0.14,0.4674,2.925,303.728,Transit,2012,Kepler,26.27,0,Warm Gas Giants
LTT 1445 A c,3,2,0,3.1238994,0.02659,1.147,1.37,1.37,5.735,0.1365,11.3,512,87.43,0.1337,0.4931,3340,0.271,0.257,-0.34,,,6.86929,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),26.27,,
HAT-P-1 b,2,1,0,4.46529913,0.0553,14.5331,167.49641,168.13207,0.345,0,259.687,1320,85.9,1.444,2.798,5980,1.1425,1.133,0.13,0.18,2.7,158.979,Transit,2006,HATNet,26.26,0,Warm Gas Giants
Kepler-1494 b,1,1,0,91.080482,0.3982,3.34,,,,0,7.02,415,88.81,0.07986,9.65,5913,1.008,1.012,-0.02,0.07901,4.37,1285.48,Transit,2016,Kepler,26.26,,
Kepler-184 b,1,3,0,10.6875754,0.09078,2.42,,,,0,88.7,785,89.38,0.078285,3.2532,5741,0.86,0.877,-0.1958,-0.22509,2.95,610.326,Transit,2014,Kepler,26.26,,
Kepler-24 e,1,4,0,18.99850923,0.1378,2.45,26.2118,26.2118,0.31,0,74.15,748,89.95,0.045665,2.954,6022,1.09069,1.02,-0.215,0.14223,5.2,1156.81,Transit,2014,Kepler,26.25,2,Temperate Small Planets
